<new sheet>
sheet_name: 2.06(Base period 1997-100)
,2.06 Trade Indices - Monthly (2006 -2010),,,,,,,,,,,,,, 
,              February,110.46195873093261,106.34500616440818,108.39631176036546,126.10274379492962,103.55917869171839,102.10552666010081,113.8031662042718,134.61188439025142,112.32005623755623,107.5415175644933,110.26420545611565,103.26294278847222,107.0300416533464,110.53301550866728,94.89889781692484
,              March,108.43115857357715,117.84919915365386,113.26700364210025,117.76957136908328,117.96837634389433,132.1114862523319,112.14319331984707,134.44820424078333,118.33512783855167,126.23258513468869,97.57180729531464,93.83374234322608,109.20090021001019,115.75073313339381,91.63523148299264
,              April,101.94366679257472,115.67939970916866,109.43697687476728,130.38502386312757,123.72390950210766,111.81758449656606,109.39445723133424,142.64951941095018,122.3696815676968,120.61866125960212,107.07826679205024,118.02453413889988,116.80251173292224,118.91967782873556,89.1979029222956
,              May,102.40910727059462,115.14568153396375,109.4747926217173,130.72232692750484,111.75856585864486,112.43418680172981,102.69228592077417,128.3570498772716,120.10872341876171,120.29776347960667,120.46452344757905,107.80057568776134,116.87466769338133,117.65061688452548,95.47962731878286
,              June,104.21174123430738,122.94032407129411,113.54926481596765,107.62433305632943,103.4839734282062,123.85480035847654,113.43409780511384,138.47080295815854,111.01196130151023,113.08269539149485,116.67769145148606,114.65807694408763,114.28576125725405,112.32362775927496,95.5079461024204
,              July,105.27727765821294,128.42546972808296,118.31488368575683,137.89002533551974,117.38615307584003,124.69859576171045,112.011129618923,136.8010245577855,125.68549034365202,129.77112995931273,124.01230018252527,104.31325359411696,120.68054670436261,123.65308513274901,84.54031715197543
,              August,101.04060522031067,129.46503534127052,116.272628396223,135.2822306611855,110.66615233554118,139.08263988668193,122.33662502740171,135.62426732544716,125.26583702968324,131.29894801863517,114.21885496568419,95.30313165767245,116.17647776988535,121.85163763264353,91.43694928638428
,              September,107.58805705441759,111.05768413130292,109.67610401567832,120.51399694471789,112.07678525182494,148.07536706417034,113.30806010732995,136.50503426800267,121.45707373392969,103.96806719302838,173.8166886767312,107.36157762470629,117.45250245534604,118.68822546267634,88.07241629394983
,              October,108.28446409441119,142.22392034923496,126.0627078331873,114.0224108440307,106.19155869950168,146.7388719029235,111.09499083666505,134.06853652409845,119.41709579987013,152.2885879357054,133.11305011635648,99.46107627810791,128.2890439079169,122.51019684464866,85.47694893181472
,              November,110.78152799207864,132.44084848481103,122.49135491474486,151.4391796925889,115.34822806906291,188.8274533178034,122.70797413375603,144.3224985774931,137.7238643744376,154.3722354014574,153.7075192628286,117.11775519288304,145.26216503499617,137.0001652492302,79.94576936314286
,              December,107.34820600841745,138.6305913761614,123.9289555284642,139.15584222935868,115.93137987254994,155.4302240261489,121.39298775735895,130.35034441529874,124.88821887025159,105.60041442404776,117.9,108.23669157544185,108.956735205899,121.65615271601855,103.05519426329859

,2012     January,102.26495054757467,110.1434822820947,106.59059210792456,138.6111459775548,111.72240525451409,152.87415713790858,109.82449447749907,143.3909205847679,126.16066929668577,181.19784754545444,123.02413939417232,136.6510107987582,149.64534261650508,128.63668727101427,90.63895292796782
,             February,102.68772656258398,114.48543436939357,108.93211483940952,152.96258766745578,79.49530507588072,135.40030629306446,118.05753522126882,147.8201530766474,123.58729025370545,129.43576532614316,116.42371830253076,95.27481022530573,114.60007171134477,118.98836585267492,88.59281295136773
,             March,107.74393819077666,161.82990303490686,135.20947397250094,162.51382256064872,122.78448084474756,143.01950117564508,124.84492408768088,150.36687263010936,143.01823479712843,136.86362675931193,147.25703041708059,107.68897704318574,131.22230101741508,138.876510500337,74.5954483705438
,             April,112.13148410393636,120.7605077963569,117.18174633696006,162.16995737950586,133.9470933056416,153.12102362023293,92.49254619782,139.26068992306818,141.0163371811487,118.61549689979248,132.69732198650922,144.54861561259014,127.54080367508055,133.05277268610928,91.38655184545678
,             May,111.72677005616036,141.6674361903637,126.63196139611033,152.26665844396015,122.89536882210778,148.0359346089355,128.43731552551773,162.93474904231073,139.3812248033448,104.98242392310242,119.39444796422187,120.75933842782649,112.13837649572855,130.6345661899992,89.82926008253547
,             June,108.37891372244577,129.0344913363864,118.47106298031666,134.58502214438957,124.48612521819602,140.4262033541573,132.23616992016585,149.35402990884893,130.0516166481695,88.8450634129831,116.00282229237291,133.92832429162658,105.56372224667709,122.75235294061903,97.27547549774943
,             July,114.26547459314529,123.26027315541705,118.86011929961451,156.29036516144657,134.0573905879373,127.27723650605955,140.95104649335238,154.99973897827866,139.576565906898,64.72399372829487,91.73143688262839,135.70061578390442,83.18215566351982,117.57802569239699,93.05644157097616
,             August,110.5894238578603,138.65640992586614,124.90718398910614,160.61719075241126,134.2157572938097,168.96409175650803,126.75669569765418,153.31544709948594,144.53366096746677,101.05004347964275,170.21290006061986,126.74900901518333,115.47373325224115,133.4310507471396,90.76628113262343
,             September,118.41688740839813,109.49039494536483,113.27221149388595,145.48729284497495,132.42730931226544,149.1317830677651,135.4037905132165,155.1143385762153,126.62226534150301,63.35569141156808,145.6829505342561,108.07531633325695,82.31956701934658,112.02854862623059,109.24926703983337
,             October,109.520340787331,138.6209072874722,124.12886585811755,167.08392318637146,124.38397191457958,148.94980943455917,135.2207457865657,153.69328870171813,138.02279416469207,160.61448030027893,160.70853120749518,123.71583952611232,147.71534966748177,131.592279451238,80.44069424049619
,             November,129.368118105815,171.23607404147847,150.86928738855536,161.3757314263808,140.7041822055888,147.29525013646048,137.37688268293573,152.20772548511536,151.89992631273876,230.2767200422678,123.29483887505181,142.18770653229828,184.72840803879166,159.29660190113674,77.64944645093662
,             December,110.09025384758348,135.09227506148633,122.14166718033887,161.20708223324635,131.71219975184292,146.1103115930237,112.84476435134691,176.5914477281559,138.50927727765935,110.69517953065781,97.76662660939459,117.40740654708102,110.42295957288984,127.33566982010929,104.65564354488355

,2013      January,103.36545667067301,126.59905238066627,114.66780168092508,158.33262195062184,124.22777477357982,133.18077494418722,125.57138821930967,170.5426865339999,132.7024389592603,149.24808320717398,86.83329227037571,139.00298453559904,134.53267671086024,121.03745221307689,103.64750895560424
,              February,106.39322442228678,131.7492510135089,119.01511717413942,153.34830631501825,117.46247764663434,145.28819917274444,112.42972715092756,156.00450279608881,132.71658219374785,90.63253044686977,199.19586545689407,125.24959609086297,114.79810013695435,124.38769535738739,93.10699349350091
,              March,110.55143406901477,134.23713505504253,121.77725086673841,150.2680677529692,128.0398657520999,139.49349131913678,110.99770292686185,177.62536066817313,135.09280078520024,108.23940437720614,120.06549388265822,110.49607384285093,110.67061791657518,126.37411829238879,78.25656414197367
,              April,106.69920879007002,138.60009235320163,121.68373838426099,147.95991122314655,126.96742220630925,145.19464113178407,126.76112055311086,168.088442938746,138.0424248017644,98.32175941270187,110.5532253497887,127.80870649809096,108.28249028047408,126.81657107021415,88.27989942389092
,              May,105.26065297204825,131.3834476712441,117.49684206423565,150.63445675486534,122.62527067643303,140.18149537075084,131.19699985844767,162.01336085074598,133.02989926038993,147.76186641724124,99.76841895857532,118.45159643441832,130.9853697946043,129.6984489398111,88.96800759741814
,              June,108.63694391305592,130.0695551535107,119.66488665378535,149.7612707650032,88.7516354499346,139.79562758147404,130.85135501076527,174.1088386227156,125.36475317650353,100.62345734033653,101.95376450328189,122.6502226722894,107.44519083733373,120.83806852128562,95.82089472937632
,              July,115.81426726085438,129.05655809219022,122.88224193709574,157.51150827153046,130.07485286409744,137.57904600024992,130.97092264231273,207.18291872727445,136.78402810780125,65.20840323032387,114.8458507368769,124.76906398208445,82.28947312739724,115.47840002517404,95.80172388811799
,              August,115.36849373732365,130.24405456163706,124.14776616714028,176.2,128.61230760088367,138.51007608336684,124.64391941923813,158.1700326122115,143.4,110.31986280569667,142.10991415690262,114.4405098822143,115.35407537388349,132.56185976628865,91.04042615052109
,              September,118.3924636772272,114.66269177936526,115.98862022517753,162.13903388649985,132.9840286353048,138.2901596776384,137.08564667758125,152.6761657620354,132.88656389113106,65.98800736205844,114.13983480301937,114.44150210727106,79.94061101457105,113.41697302020289,113.05496150399217
,              October,118.37261559426166,144.2481403699337,133.84920947300196,155.54886177318716,128.2068529081849,111.2378150489749,130.66010635601828,153.51334725650256,131.5919284581444,115.17924884321557,120.53489515374203,135.35377385699414,122.45122377587514,124.52643397756329,82.10759405274881
,              November,123.09395323825798,152.9032408760345,139.61475986379014,156.3,134.51361330440884,105.18437781923005,131.95182551059116,147.59055361996818,138.4,156.40179902581758,176.094017125012,139.13876154599765,155.665956703732,142.8,95.9
,              December,116.36780527737562,140.36186722954284,128.3351139542169,160.923788429132,128.08268509679783,126.20201368239891,122.97670862011903,147.67386207359797,137.8261557973439,114.24318169396565,97.43838672132603,105.36218232215822,108.73432827250514,129.17507954941817,106.01341729490177

,2014      January,109.7691637801906,127.96576278899705,119.38814438979504,159.00450816108793,127.47858910517185,127.63976852112077,136.19145569169515,162.27167906412583,140.59974516845304,133.06788020832673,96.04158995557223,128.28104799094314,125.27031568661387,122.84181229777217,110.05093505867525
,              February,110.26675006231187,138.21825335180534,124.79208776440068,160.15394579103958,123.71436917381786,120.58398999124435,126.83926750940302,145.0259562739521,140.68973085110431,90.10364247944533,144.03148289318483,122.42172743781813,102.92056669476467,127.43403582526345,95.59195315264304
,              March,116.31750056725721,141.6032004347933,129.26833845162528,162.81616279308227,129.0136555896539,109.7704126273578,126.71271257397811,156.94708437524636,139.79736953404367,106.32537534099608,108.12064913173667,119.64872949436094,110.46916509087822,131.17492130710949,83.90214341849077
,              April,110.04446107841845,140.02915568844276,125.89002920176141,156.801919720766,133.26327017512057,132.07847707853804,133.85645892725233,146.68255736415458,141.55563301805373,107.08081320844701,111.78049578102322,131.51645772295015,115.051875173772,132.61061837050633,89.51943616336759
,              May,114.38063058178473,140.18740520340918,126.09463015034461,153.88203815012238,129.8507143217995,123.9286183766563,131.04201053595045,133.51213051306692,134.55658015794387,146.34285248321225,103.03780168375594,129.52850621784492,133.3261108579644,132.57316772203347,90.37842979323094
,              June,106.95222125525908,136.5713614619311,120.28112038461262,158.18688925096373,118.36665271228772,104.21696174668818,130.43869546896218,119.2201262643171,135.38301497487728,91.76940118820454,91.83359333449648,128.3772050769384,102.78340888803423,124.99243726568966,100.26589341420605
,              July,112.88910827167311,135.02658152917812,124.60947828522569,159.4644156638503,126.6074352666519,106.3442701279738,126.17765970681043,183.4908854332849,137.81817480309346,75.85624578364887,110.58260974350851,120.07385719841872,89.16174569390057,122.19129847904047,91.969005000838
,              August,111.56120653675815,129.6106213818545,122.26395339054801,150.09088938536578,137.48497892495988,113.0047782436388,132.31592753929272,136.37745799030594,137.253617424836,117.11767134617376,143.93015522177626,114.18693212637312,118.76101244442927,130.35921887727443,94.4074443015231
,              September,111.79559271245887,125.27436585795809,119.30403918275576,140.64075273269637,126.3301185585631,95.20292014923655,131.71784823430679,124.09956279926237,121.24712358675391,76.06901552169059,121.59792435859218,113.29646263950245,96.01774967806263,113.34786271742891,108.15787365294369
,              October,117.12433771874844,141.57402921157097,130.3696161867102,137.17804005432393,129.19055608241135,120.70168631883772,128.23718918239746,141.2291542862171,129.02831014752266,104.82411503869551,124.70179970760913,129.82405182246234,115.27883361105694,123.47612159840119,98.46741232809151
,              November,119.72781926346867,146.15494697755037,134.1688598677582,117.78232923697715,128.0561342815476,115.3508711968209,129.77600270512227,140.17905908760065,122.0096407170113,115.24228032515332,176.91805830670512,115.66384390303483,126.38643502983807,125.60306336583596,100.34483980832431
,              December,116.37453942184169,135.03081465364258,126.87524875477733,108.72753191188528,129.5851257666551,125.15104511274991,126.04628888363253,134.31399439390353,119.32878841293521,110.0347004802697,110.34209681870969,101.46266909294046,107.37814383214949,117.87672109845997,111.34509972202781

,2015       January,107.03402874296573,129.0221243206886,118.62400573333605,93.97790672262428,128.2336316132073,125.4301940794266,125.4790758140223,128.6440011163427,110.48507796724027,119.44177295773974,99.02436553790145,123.72506537620076,115.51561845691516,105.69025796082792,117.92559975082395
,               February,108.52729385686641,138.2385286614997,124.1636665728798,99.74378887155794,120.48584144970087,112.26545732656106,124.96340769950154,137.88244934862357,111.88618373493307,85.98076980544819,131.77966832032638,115.50702289269657,101.29915456287569,111.38608795271936,117.53740814514796
,               March,111.67000523210382,131.67239390098368,124.24604249321318,98.44999244591719,120.91400423226692,109.55816902226792,130.3390541472256,143.97576241276874,116.0012139680868,113.70154102035524,121.17925316981948,113.73765622923938,116.19105614974583,118.30377506633563,94.52612968237295
,               April,106.18062376145603,137.062790823096,122.89658713352918,98.66178199806657,126.6054747712538,121.15942046073805,126.94478000867839,137.9685558883916,117.96533185690248,117.49820624926721,110.2546966780174,128.35340435895478,118.54787534709483,119.72836233827707,98.00614721972683
,               May,116.02657989406433,138.05773976700843,128.80612044273084,103.62018606100749,127.68378858122308,115.01686735537035,131.4353569294173,139.67822914482434,116.61249508851412,142.10449792751834,105.96714074158118,122.01972261227513,127.08079882275558,121.44334341129799,80.55795558605901
,               June,117.38526748835358,139.8760306856654,131.69738162978572,103.60959671536685,127.62473430266297,99.54153436534715,130.9352745659232,133.03098602155748,115.75132297361522,100.52563185679612,115.94614960312852,120.39070337066798,108.57351657169339,117.36154758575823,106.27511955717475
,               July,110.83271689958507,127.56929092019797,121.68878975296002,95.98812183265592,128.31692571280357,104.2260074790286,125.30194945436513,138.4505534040698,114.75094363658727,93.40888060677479,119.16433876315055,118.90487006959252,104.93181619418239,114.05829045772309,100.79783625729304
,               August,112.08989416690062,129.5098165527716,123.95993430658197,85.3948437036384,128.73376873438,101.76342651119413,130.27447106062948,128.51267658463786,108.93349751103811,114.38860730461936,139.12038980867774,114.1150798427091,119.00894131689022,115.14787388686489,97.02995183830237
,               September,121.7048044798569,136.69608985961696,131.91499738848194,82.95217835973632,132.23899026437266,116.11713749798243,131.09744589482372,125.85316980445258,108.59645928304016,83.03512893649668,123.71501588755737,116.69776805931839,99.2009489039201,111.19902146943615,106.60392607922884
,               October,124.4530387107668,147.30778252374415,140.23531248203133,83.16419708353773,123.2607069037053,111.67070701603198,134.1675796295641,131.47370378168955,108.47787495121075,83.41292378786328,128.58050371631307,122.04751664079723,99.55620653445924,110.5036943875703,102.40443312495917
,               November,124.56825363124952,142.40402880425702,136.047778477017,85.0657147476322,120.15268680486759,113.54513826618158,129.2937451269067,134.9078153022184,106.74951385225681,114.41329436225413,156.93004583402958,116.1622843275062,119.68582341284255,116.82372983098443,111.98347779515268
,               December,130.77769070378798,152.9576527529895,143.48138137784701,74.4386603635156,134.63777848343307,119.00365543930774,131.2152510738085,133.18935545787207,107.68502774618686,108.62799405433347,117.27284424662044,111.72069482148754,110.61364825753786,115.22144050561178,81.06389555255194

,2016       January,124.91168908061623,154.3668061010914,142.74203880209706,69.68852166285602,142.1867772494897,128.91884528758501,131.48549303559565,130.28876866041867,108.37886747383119,125.07960324757133,100.37875455116702,121.05101983590126,120.35581086129305,112.28446277947073,116.62466249078322
,               February,121.58999990488553,149.0509666006953,137.99546980928434,64.53046609855576,130.7113019846392,117.02724005736648,125.12591736134308,128.55403832874654,103.94491427412957,105.70250418401312,124.81954636495067,114.46025680821641,110.5998437095873,112.10726383641017,122.37623356833633
,               March,119.54313621144983,164.49593902850816,144.08336049411292,70.05182474195965,142.39283728686786,107.80489139016936,124.33614821621882,148.8611488189517,107.89938526386133,104.38843098571601,146.94730685967738,127.1872458243664,114.73066921857875,117.80146325336365,89.34499276356432
,               April,120.52948691446078,153.47258195066837,139.34003671150202,76.32953957938234,143.93619445621738,110.00417783111584,134.6174984841579,125.55799597295385,109.70477103294532,102.93441807551727,136.3287324632575,120.40107258878547,110.73271793797946,115.39983839577314,108.56768461245048
,               May,137.13050448817646,153.46619455285463,146.9851849908367,76.79239653913696,135.39075083236423,103.54688780451123,126.69502017022296,138.96346526754655,110.56036350416785,130.78994569848982,118.72132395149156,121.9369265936062,126.17991722855805,120.67881201182628,85.8924264863036
,               June,131.8415336259879,163.59632204501057,149.6167522246818,87.03050509246256,139.88220390411848,100.61388364967665,128.50213460581602,132.9605912759518,109.9460264551053,112.3901931318483,135.15163191489054,118.8850473956322,116.77919865920119,118.40204487253365,110.88278221227652
,               July,125.91113722691173,153.96671282062385,142.13543568801558,100.97781333301464,141.64608053036198,106.74257067859425,128.00082207001438,136.21081818976336,120.4678047245235,98.33321464211865,122.36135350537253,118.24974938857409,106.7120849424754,120.36261215720074,100.47658340542091
,               August,124.77888573911049,150.33490954778165,139.953620894026,76.46454799170169,153.8282503497963,103.68611099317661,133.55489841490802,139.4604898955357,114.97080526437892,134.93562340607343,151.1155921995817,132.29700348775313,136.3014885586515,125.5522985559067,96.32977194077637
,               September,127.43244421209342,152.06002200187544,141.49429178229684,82.27417966610969,144.82175463686667,93.68371829566141,124.59376684437112,124.56911139801439,112.20725778315052,81.8578860260756,111.2,111.39518979982167,93.1,112.5,114.9
,               October,127.61773441519604,152.83749249366173,141.0286662731728,85.76919094266849,135.1805804418332,102.95211326889616,133.51474094017442,133.07909434536606,108.02856057777208,80.1771748333483,153.6,113.43287609202095,96.6,106.9,117.4
,               November,133.78237881680693,166.68037376567725,152.9930164304621,91.45604228944737,134.07789223340401,101.10243486685349,139.3057914058999,144.51505495405604,112.99827452539513,103.22583994377467,150.19402206337625,126.37719871895024,115.35375784238366,120.78148179358922,118.37007327102602
,               December,139.16488015103164,149.57679924897235,145.20423335073394,92.3695921161978,134.02163747211736,105.59208618934197,128.59284889856798,128.16834223835042,112.61795763863151,96.2546194481127,119.818854523017,108.1850574277745,102.43012366521849,114.83901801291418,86.2873055578384

,2017       January,124.55647587267988,154.3017944587194,140.84033348764123,99.40023066815175,141.840775835325,120.2658756136296,132.46711229227455,123.5068268782784,118.25733700297378,122.35300239923829,110.9079811484168,113.8201128613306,118.35671051578744,118.03472049346182,110.62271146236277
,               February,118.19393894581137,155.22921062399746,136.737496385786,100.195700476193,135.2189032530684,117.21273632420434,119.5918441959756,128.89527554330192,113.68579973897018,107.60400380122341,118.52559412087622,110.82381025239081,110.04324349679118,116.88180202837064,121.25973115754903
,               March,123.24313284344555,168.4908053840199,144.3413084314825,99.22781938606074,146.3026591085398,99.72301802907913,133.27459783700064,126.33191941088468,119.3371744402835,103.20378188024846,150.23506858504328,127.35037022543449,115.7957269013713,123.9881635119918,89.30890723729334
,               April,124.77605095956928,167.80147420796516,149.31278315529488,101.5342299288076,153.44072480454238,124.32371159491973,133.67616195732109,122.71512575357823,119.67080063886483,104.75898009931761,137.93896561736386,119.74455809661511,113.70972368199939,123.48747403242277,109.03341257813682
,               May,138.64989033977199,157.100701190607,148.69570152672668,96.01114688838783,141.0018126900882,100.26904274214188,125.98386399376899,136.81945843468273,119.19072731136752,129.2560657887595,122.9961582930531,118.93844062255911,124.86350148601382,129.95509557897827,87.33510707010211
,               June,135.11449741686937,167.2277879837289,152.47048052251515,89.44970913574475,139.49077764068088,100.76731846572338,128.65870340975033,148.78448978017815,114.93240150395567,109.24366913188157,140.19503316915382,118.08196081187221,115.520012718761,122.9941203082055,114.19539831157006
,               July,127.62722785132188,161.94256942187036,146.2856311798842,89.6,157.31316388638345,108.62381661322993,139.06955326666278,145.15160117711983,119.7,100.85264626661208,138.18448694059686,114.66062497313743,108.802412801999,121.9,109.9
,               August,133.68139747799387,166.26302750013423,152.32156638217032,91.96282370264879,160.561612549024,112.07313865925057,135.2317031078726,156.65366592786705,122.52766876352507,133.63876577032246,164.92219619667907,150.44055955734643,143.0327003557615,132.75243570382196,104.2763891099334
,               September,130.2461058086542,155.53029232685478,144.35176265214233,98.87733779674144,155.06238860361447,102.47546327777381,137.0501690217452,133.32985937388605,121.38897051185936,93.15624665875984,122.48490905673373,115.57839115254664,103.35776321089756,120.47691157083618,118.56758755070409
,               October,128.2645714148074,172.95321400987604,152.28226923656075,104.73291124228581,142.86046673209756,101.25689876922009,138.16528796994336,136.30236487047722,122.01357132069668,90.90378278594999,148.12973770306078,111.9884573142875,103.37376215779616,112.70040505605495,121.1297483396437
,               November,126.02968001829214,174.5049897109557,149.78963827235432,114.43584771034514,151.7622451713352,106.44744015127321,142.86771156028453,141.57574690345325,127.64492463203719,106.93010364127502,153.12076411121615,124.17401108819683,116.9953287616862,128.90178791225026,110.99297911348947
,               December,128.22536931910457,156.83849953368028,143.4377832617281,117.70555066917335,148.24267136998063,111.92001475587281,141.28592717505936,141.3219218428583,128.1794789303808,106.98085829636864,134.79696186600108,101.47373152865804,108.2294097240538,126.40555793133299,86.85493010858745

,2018     January,123.32472389553752,164.81434005639542,144.57782112414125,121.49742333465812,146.39240835783343,112.84962580456003,144.26617811898024,131.57960282468355,129.16326750177674,121.06309622441921,123.95975671686729,116.74422731972071,119.95742220348491,129.80304873769427,109.65974291557043
,             February,124.18186601243242,156.15128178703787,142.43261387095723,121.5950478631868,143.73998941013377,120.59395982216728,138.38057821958515,140.08888471175936,130.8291587722609,99.16511331819781,120.43410047481395,105.60248937256402,103.99261954809742,130.6347402361362,116.02062129533688
,             March,124.85991311396376,170.9041516280383,150.308892506757,114.50299820902701,153.47078586075477,112.78620878224758,144.71131679577678,142.80799586185773,127.52067920102313,104.7231518983183,140.53598264131804,135.63158545204743,117.08020217138404,130.12553139780186,92.20790700510292
,  April,128.94623895488073,164.22499467910376,151.720657829757,117.76426910119184,156.65346709875595,115.9484758405995,149.63986166911354,141.56414191665579,130.2030074457363,108.84356360513424,141.37210932569425,130.9658582089536,119.02488917965798,131.91821974070191,114.47956055398282
,  May,137.71203055745437,165.50545791034804,155.76130864308823,131.80082757571344,157.32410824761772,112.72681958731607,140.04265511100172,145.63970498501325,137.86151031959932,117.35373461122208,134.11619857442932,119.64435407678499,120.23785054079526,137.15692235189712,90.97482060364891
,  June,130.81808536631073,176.48748296623248,159.98553948960284,129.4224088791717,157.16678412215094,112.75968001335319,145.7113297861275,158.89860911063616,136.6735117264374,104.2984930394703,156.2605524149544,128.36765491079802,122.34599192380236,137.62766222294343,110.04190361002826
,  July,132.6016570909823,170.1470294136786,157.28326489053254,134.48442124491987,158.93059164208168,117.86738470068428,150.7791356654661,160.1263029480569,140.09727249610017,102.05401954038068,157.3170679547611,126.60482813164464,114.11006708756145,136.79798287032116,107.07289391105294
,  August,145.9239217025659,172.98905089276525,163.9223556232473,125.27114906895524,156.9572682116673,123.24874447404792,146.86285928478912,171.77722409644673,136.78445980172742,127.3343250704011,166.6982331798171,140.47470490726067,134.60815891521028,141.72146608222204,102.27795215420903
,  September,141.6361540006675,169.9111177914058,162.14115165702037,131.92360353251226,155.1933363826704,123.08722993176187,157.69241134240593,146.31969731742146,139.14694341690762,94.1414230481101,144.01294904969092,128.14685195741544,108.47461120200016,136.10413780362597,115.04854936787578
,  October,148.66456583873693,167.4413386812291,161.79145583553023,143.67295991244222,164.54812759391115,125.25626632976488,158.52900798834804,159.1924888657517,147.63166412201667,99.00645729880105,152.93664701070304,123.2685596860259,111.02922379276043,137.67502987594074,117.32622376894449
,  November,151.9465105350001,180.83572531940297,170.9121260762182,148.32750454264078,167.4427341646342,131.71538535689598,173.8748493162749,168.2519432148748,151.9447760548696,106.73490930722092,161.66753113207355,129.1990933741833,118.58077172128245,147.68595568016062,114.82779305811239
,  December,137.6561992839477,207.43970273117606,174.15168374622857,129.60959209854647,172.2170519200981,91.94226353996767,169.17348507415153,164.3722541471679,142.42973291246702,106.54944257668268,187.18185764415503,132.28707076908617,122.053100387075,142.40234127652485,91.67355642146646

,2019       January,145.5138590619448,202.8457100071563,177.04339522991407,129.4778474830063,171.50560602069777,139.58145948452562,175.29522989210383,163.3637171873881,146.7485395109689,126.97178108648238,165.44813858432653,141.0520972020577,134.14958941660325,147.97062528560411,107.5886635822742
,               February,136.16663817399368,189.8535085810002,168.00781985007347,132.89812179697606,158.22541624814403,144.36639880171268,166.85162514788374,170.19972701579132,142.9790767217076,118.89146837641516,145.30740487253922,125.37807316379299,123.44122629770418,141.52267083196892,119.81066427465889
,               March,138.43277138544897,200.2093265604475,170.38103641020246,133.32513663772534,159.58419845219962,142.42528872600636,169.60669050796218,176.4647309364751,142.30913586070736,122.4344511708736,141.41553441357496,127.4351610971106,126.01633807250337,142.99951738897252,89.45096088280278
,   April,137.92925814229335,186.56037342548825,163.6178449351305,142.13427196857154,156.9448048037094,137.50241258203465,161.33543484535048,172.99388835884344,145.5918240121612,120.1368834941368,144.17904562507204,125.62423617667497,126.36980726661047,143.19903113555003,108.9400294954673
,   May,138.9846747369713,185.55505232482395,163.36409769886936,139.8886341549705,163.00764822895786,134.96549543088094,166.43932736951987,176.53496276999525,146.1684223327612,119.93692281167985,147.75841312118348,131.40441297531348,126.8579624708154,144.06333827928745,86.53677184520201
,  June,131.5136505035181,200.03756175168792,167.09608177944673,132.49737785811004,172.38801926725245,113.28565482663764,157.24813628204316,175.54826183243034,145.30096475142275,125.59511547436959,171.50337743845697,150.3581068284767,135.8148317447227,146.65475617183867,114.41050335082063
,  July,148.418821481412,199.31123994946705,180.33162531942412,130.12830268181614,164.12970946623548,120.42022109124063,152.84167633973962,183.55375007344745,141.09190360869647,120.56236549525903,204.39623980424196,125.74284366078982,129.0344386844207,144.5778609552233,110.98941369198698
,  August,150.3068464188191,206.72643842826784,182.41130983589196,126.63958517125783,166.73450628014953,128.1810480953932,153.8018165661216,171.6716007995012,140.94533724408168,108.66912136374995,225.9337193371325,137.1114478110105,128.54407809868843,144.66541801124882,107.57374682011651
,  September,141.88068025589328,199.37634836072422,178.10612137919537,129.13580141363482,168.24877641755276,113.0208351106007,164.08706537113582,139.10737552241966,141.0345199836303,98.98170702885048,179.10851009584735,150.76978837096559,120.49914093011255,140.8619411877725,112.25362629134838
,  October,145.20037389266176,212.6016667388156,183.8977879522354,129.51453794886766,166.87492426648134,113.54796457464921,161.29068705039876,145.3269622634688,140.5061847942516,89.97830151805074,171.37947456380036,129.5907435827706,106.07819097265762,135.63630917964753,110.59385703831342
,  November,140.64095285712145,202.07141685077931,173.3182745201739,134.71405173090037,167.0161673633082,112.04692468508426,160.13985484575264,154.5564196019097,143.4840272843785,127.8320166571748,176.54275727155684,154.53744434969644,139.97032269591588,148.1361003494857,104.16901700406065
,  December,143.59231416263188,207.4424624870452,177.54173726505206,139.54976265370246,167.73806888513795,89.19860444052203,160.96221274950736,139.92522504061313,142.80963123872877,94.98127451835323,195.0903412542489,131.5120465458516,114.22132555370331,140.3570172596912,88.84734323648587

,2020      January,139.77918011461148,205.94755967487617,173.37439275188277,144.03887973886435,167.71296104700477,121.09797107994936,155.0610923567323,135.87094399496752,146.38793599266629,108.30757775772958,180.9700323943915,141.3617697635725,121.96352731610153,143.95230669711603,103.85306115732544
,   February,156.87837801726855,199.43823425305007,179.255444606853,130.35186898336275,162.56105005852402,121.71409879852114,148.0362877865084,156.27422991723085,136.7380722109856,114.11673489356322,189.3481414025909,149.9161086910451,129.3035575996623,142.58761585344376,116.94314819246117
,               March,146.96273504836236,212.4545045297408,171.51797216962945,94.42473595186736,174.20907906046938,110.19245028480687,155.75499417717688,174.99821961472352,124.93302961451796,77.68643486504234,165.65777293836982,152.70675895894973,100.47553847962753,126.65253717535323,109.9328019455886
,              April,165.1798035244067,196.98262535302078,181.20302231870414,71.17261291518042,170.45199619080515,134.68627192769088,164.86992199486403,184.268157413321,120.96657826284081,103.1182748958467,227.3119698064956,129.882638763057,130.54302190154496,135.3595015753988,91.05826756029107
,  May,161.14820448685478,182.6969667776646,172.06847726662502,65.56829361945029,174.64288351858525,138.84626878882807,174.71430668070764,178.1979153212132,133.51552146673208,144.71192686165185,196.9210436105133,146.9828675065148,149.32746930471527,146.31727310813227,104.38005533030841
,  June,149.66410914347117,217.48090818141546,183.45951644419452,91.39816149405593,183.5753849293817,105.3585903411111,176.823614522787,178.1022388965725,138.15526321433097,81.89984789718308,186.4385688655676,143.03069751116493,99.4578691948726,134.13847187216064,106.08256855684652
